Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Outbound,Philadelphia,2019,11,2019,11
Educational Seminars,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Outbound,Chicago,2019,8,2020,1
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,operations,not target,Inbound,San Diego,2019,12,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,quality of delivery,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Won,324.0,SLASH10,operations,not target,Inbound,San Francisco,2019,12,2019,12
Corporate Events,Closed Lost,768.0,2SEMESTERS20OFF,operations,no response,Outbound,Phoenix,2020,2,2020,10
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,operations,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Jacksonville,2019,12,2019,12
Corporate Events,Closed Won,240.0,MONTH50REBATE,quality of delivery,not target,Outbound,Chicago,2020,9,2020,9
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,5,2019,12
Educational Seminars,Closed Won,960.0,BIANNUAL20,operations,not target,Inbound,Phoenix,2020,9,2020,9
Corporate Events,Other,0.0,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Denver,2020,10,2020,10
Corporate Events,Other,240.0,DISCOUNT50POWER,financial control,not target,Inbound,San Jose,2020,10,2020,1
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Chicago,2019,12,2020,1
Educational Seminars,Closed Won,200.0,25GIFT,operations,not target,Inbound,Chicago,2020,4,2020,4
Educational Seminars,Closed Won,324.0,SLASH10,financial control,not target,Outbound,Chicago,2020,2,2020,9
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Outbound,Washington,2019,10,2020,1
Corporate Events,Other,960.0,BIANNUAL20,operations,not target,Outbound,Phoenix,2019,12,2019,12
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Outbound,Chicago,2019,12,2020,1
Educational Seminars,Closed Lost,0.0,2SEMESTERS20OFF,operations,no product fit,Outbound,Denver,2019,11,2019,11
Corporate Events,Other,768.0,2SEMESTERS20OFF,operations,not target,Inbound,Indianapolis,2019,1,2019,2
Educational Seminars,Other,1008.0,RENEWYEAR30,operations,not target,Outbound,Chicago,2020,4,2020,4
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,operations,not target,Inbound,San Francisco,2019,11,2019,12
Corporate Events,Other,360.0,SAVE25LESS,operations,not target,Inbound,Chicago,2020,3,2020,3
Sports Events,Closed Won,300.0,SAVEMORE50,financial control,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Other,0.0,2SEMESTERS20OFF,financial control,not target,Inbound,Chicago,2020,9,2020,9
Educational Seminars,Other,300.0,SAVEMORE50,financial control,not target,Outbound,Los Angeles,2019,11,2019,11
Educational Seminars,Closed Lost,0.0,2SEMESTERS20OFF,financial control,no response,Outbound,Fort Worth,2019,11,2019,11
Wedding Planning,Closed Lost,1303.7540329575022,2SEMESTERS20OFF,operations,no budget,Inbound,Chicago,2019,11,2019,12
Educational Seminars,Other,1303.7540329575022,2SEMESTERS20OFF,financial control,not target,Inbound,Chicago,2019,7,2020,1
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Columbus,2020,2,2020,2
Educational Seminars,Closed Won,120.0,NOCOSTREG,operations,not target,Outbound,Washington,2020,3,2020,3
Corporate Events,Closed Won,14876.0,QUARTERLY75OFF,operations,not target,Inbound,Chicago,2020,8,2020,8
Corporate Events,Closed Won,240.0,MONTH50REBATE,financial control,not target,Inbound,Chicago,2020,8,2020,8
Corporate Events,Closed Lost,200.0,2SEMESTERS20OFF,operations,no product fit,Inbound,Chicago,2020,9,2020,9
Sports Events,Closed Won,240.0,SAVEMONTH50G,operations,not target,Inbound,Chicago,2019,7,2019,7
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,quality of delivery,not target,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Lost,200.0,2SEMESTERS20OFF,operations,lost to competitor,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,200.0,2SEMESTERS20OFF,operations,lost to competitor,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,576.0,2SEMESTERS20SALE,operations,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,768.0,2SEMESTERS20OFF,quality of delivery,lost to competitor,Inbound,Seattle,2019,11,2019,11
Corporate Events,Closed Won,960.0,ANNUAL60DEAL,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,quality of delivery,not target,Outbound,San Francisco,2019,2,2019,2
Corporate Events,Closed Lost,240.0,2SEMESTERS20OFF,quality of delivery,no response,Inbound,San Diego,2019,5,2019,7
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,financial control,not target,Inbound,Chicago,2019,5,2019,5
Corporate Events,Closed Lost,1344.0,YEARLY30PROMO,quality of delivery,not target,Outbound,Los Angeles,2019,12,2019,12
Sports Events,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Outbound,Chicago,2019,12,2020,1
Corporate Events,Closed Won,960.0,ANNUAL60DEAL,operations,not target,Outbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,324.0,10OFFREDUCED,operations,not target,Outbound,Phoenix,2019,11,2019,11
Sports Events,Closed Won,1008.0,10OFFREDUCED,operations,not target,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Won,324.0,SLASH10,operations,not target,Outbound,Washington,2019,11,2019,11
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,operations,not target,Outbound,San Diego,2019,7,2019,7
Corporate Events,Closed Won,720.0,4SEMESTERS40DEAL,operations,not target,Inbound,Jacksonville,2019,11,2019,11
Corporate Events,Closed Lost,0.0,2SEMESTERS20OFF,operations,lost to competitor,Inbound,Charlotte,2019,12,2019,12
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Lost,8014.0,YEARLONG75BONUS,operations,no response,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Won,450.0,SAVEQUARTER25,operations,not target,Inbound,Chicago,2019,12,2020,2
Corporate Events,Closed Won,324.0,10OFFREDUCED,operations,not target,Inbound,Columbus,2019,12,2019,12
Educational Seminars,Closed Lost,1344.0,ANNUAL30BONUS,operations,lost to competitor,Outbound,Chicago,2019,12,2019,12
Corporate Events,Other,300.0,MONTH50CUTBACK,operations,not target,Inbound,Columbus,2019,12,2019,12
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Chicago,2020,3,2020,3
Educational Seminars,Other,1344.0,ANNUAL30BONUS,quality of delivery,not target,Inbound,Chicago,2020,8,2020,8
Sports Events,Closed Won,768.0,HALFYEAR20G,quality of delivery,not target,Inbound,Chicago,2019,8,2019,8
Corporate Events,Closed Lost,300.0,2SEMESTERS20OFF,financial control,lost to competitor,Outbound,San Diego,2019,8,2019,11
Corporate Events,Closed Lost,576.0,2SEMESTERS20SALE,operations,not target,Outbound,Washington,2019,9,2019,11
Educational Seminars,Closed Won,360.0,DISCOUNT25QUICK,operations,not target,Outbound,San Francisco,2019,11,2019,11
Educational Seminars,Other,1344.0,ANNUAL30BONUS,quality of delivery,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,operations,not target,Outbound,Chicago,2019,8,2019,8
Sports Events,Closed Won,458.0,FULLYEAR75G,quality of delivery,not target,Inbound,Chicago,2019,5,2019,5
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,financial control,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,quality of delivery,not target,Inbound,Chicago,2019,10,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,financial control,not target,Outbound,Chicago,2019,9,2019,9
Corporate Events,Closed Won,240.0,MONTH50REBATE,quality of delivery,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,financial control,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,financial control,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Outbound,Chicago,2020,1,2020,1
