Id,Source,Discarded/Nurturing Reason,Acquisition Campaign,City
xidxs2mu,Inbound,Not Target,,San Francisco
3niyrz7c,Inbound,,,San Antonio
8kn5nzgu,Inbound,,,San Francisco
5ketz1rl,Inbound,Not Fit,,Chicago
wveh3tc6,Inbound,Competitor,Follow-up: digital guide 2,
c8u6cmfn,Inbound,Unreachable,,Austin
1lpbj3l1,Inbound,Not Fit,,
k5bh11gr,Inbound,Not Target,,San Diego
1arp5bxv,Inbound,Not the right moment,,Chicago
in1xv9xg,Inbound,Not Target,,
q0t14kap,Inbound,Not feeling,,Charlotte
gjc5p935,Inbound,,,San Francisco
d1c3b0mt,Inbound,Not Target,,San Jose
8qlscbcb,Inbound,Not the right moment,,San Diego
z6fl9ykx,Inbound,Not the right moment,,Jacksonville
3t0o3qnj,Inbound,Not Fit,,Dallas
u87tldb4,Inbound,Wrong Data,,
oe4f4tu8,Inbound,Not the right moment,,San Francisco
onuc1qkk,Inbound,Competitor,,Jacksonville
9isd1owj,Inbound,,,Chicago
8subtcmv,Inbound,Unreachable,,Jacksonville
0scel6q1,Inbound,Not Target,,San Jose
v36fq0a9,Inbound,Wrong Data,,San Diego
ssjholxd,Inbound,,,Phoenix
823fipp9,Inbound,Unreachable,Follow-up: digital guide 2,
js62k8vm,Inbound,Not feeling,,San Francisco
2x6dybse,Inbound,Not the right moment,,Jacksonville
92k3amyy,Inbound,Unreachable,,Jacksonville
d4zfyyz8,Inbound,Wrong Data,,San Jose
7wa9rsv1,Inbound,Not Target,,Chicago
ymye5wdr,Inbound,Unreachable,,Chicago
lfys7m2n,Inbound,Not feeling,,New York
vkga0dgk,Inbound,Unreachable,,
1rjy9dcp,Inbound,Not Target,,
vwgqs359,Inbound,Unreachable,,
tyzxmfw8,Inbound,Unreachable,Follow-up: digital guide 2,Jacksonville
ovtjfp2i,Inbound,Unreachable,,Phoenix
8c0s0kwe,Inbound,Not Fit,,Seattle
7g7z86oo,Inbound,Unreachable,,
w6tb1hlr,Inbound,Unreachable,,San Diego
e1t1dtmp,Inbound,Not Target,,Chicago
hc0rk244,Inbound,Not feeling,,San Francisco
39lmx2v9,Inbound,Not Target,,San Francisco
hs2b5xe7,Inbound,Wrong Data,,
zzmt0k56,Inbound,Wrong Data,,
zpvpvli6,Inbound,Not feeling,,
3qbgnuab,Inbound,Not feeling,,San Francisco
waae3rlk,Inbound,Unreachable,Follow-up: digital guide 2,San Jose
5jb54fhb,Inbound,,,
9q3rpupz,Inbound,,,Chicago
2gd3188q,Inbound,,,Chicago
8bf5lnb4,Inbound,Wrong Data,,Chicago
mrcppf7j,Inbound,Unreachable,,San Jose
9iwaj679,Inbound,Not the right moment,,San Jose
c8ml3xpq,Inbound,Not the right moment,,Chicago
yfhjrd27,Inbound,Unreachable,,
rttxn1pn,Inbound,Not Target,,
hb25tto1,Inbound,Not the right moment,,Seattle
a2o7p2sp,Inbound,Wrong Data,,Washington
le3wkacj,Inbound,Not the right moment,,San Francisco
jfffzumy,Inbound,Competitor,,San Francisco
hm18ug2i,Inbound,Not Target,,Chicago
d5dt4hqc,Inbound,Competitor,,San Jose
jlbtq0xh,Inbound,Not feeling,,Chicago
2au6mbw9,Inbound,Not Fit,,
cvms56hn,Inbound,Not Fit,,Chicago
49rc82yz,Inbound,Wrong Data,,Jacksonville
bsalcvb7,Inbound,Not the right moment,,Charlotte
io3sdr6j,Inbound,Not Target,,San Francisco
8qmq73bj,Inbound,Not Fit,,Philadelphia
wn3ia2pu,Inbound,Wrong Data,,Washington
4cs3e3kr,Inbound,,,San Diego
zrkeg0n5,Inbound,Not Target,,
vt8hqvl3,Inbound,Unreachable,,Dallas
mspaik68,Inbound,Wrong Data,,
wup99hvf,Inbound,Not Target,,San Diego
7p50cwx3,Inbound,Wrong Data,,San Francisco
aneyhxgl,Inbound,,,Phoenix
3d2xtlky,Inbound,Not Fit,,Chicago
0ym95bg6,Inbound,,,
jckw3mh0,Inbound,Not feeling,Follow-up: digital guide 2,Chicago
sdjbm2g3,Inbound,Not feeling,,Washington
osnpvzf1,Inbound,Not feeling,,
w7optcdf,Inbound,Not Target,,
6jb1ykke,Inbound,Not Target,,Jacksonville
t9nfagpd,Inbound,,,Jacksonville
2wn404z9,Inbound,Unreachable,,
mzboujgi,Inbound,Not Target,,San Francisco
qjditj0r,Inbound,Unreachable,,San Francisco
78g3k18n,Inbound,Not Target,,
vtx1azw1,Inbound,,,
k7u4z3kd,Inbound,Not feeling,Follow-up: digital guide 2,San Francisco
vdq5wccq,Inbound,Competitor,,
8btn0p84,Inbound,Not Target,,New York
wbivhmzf,Inbound,Not feeling,,San Francisco
qihn206w,Inbound,Not Fit,,Chicago
134rja2y,Inbound,Unreachable,,
7upb0rhv,Inbound,Unreachable,,San Diego
08bc05yx,Inbound,Unreachable,,San Francisco
rncgtxil,Inbound,Not Target,,Seattle
djjui78f,Inbound,Not the right moment,,Phoenix
r55w4thb,Inbound,Not Target,,San Diego
0yfsu42c,Inbound,Unreachable,Follow-up: digital guide 2,Chicago
fobq3bxp,Inbound,Unreachable,,
z8dibdeu,Inbound,Not Fit,,San Diego
0rqnl52f,Outbound,,,
d2wjghy9,Inbound,,,Los Angeles
458nzmrx,Inbound,Not feeling,,
8ma3zs59,Inbound,Unreachable,,Austin
yz33zhvo,Inbound,Not Target,,San Jose
00qhvzh1,Inbound,Not the right moment,,
ubnbhiyz,Inbound,Unreachable,,Indianapolis
z9pvf9f9,Inbound,Not the right moment,,Jacksonville
ilgr02pq,Inbound,Unreachable,,
7ijvt39f,Inbound,Unreachable,,
jxx429j3,Inbound,Not Target,,Los Angeles
xrum3nhj,Inbound,Not the right moment,,San Diego
qm1wy9mh,Inbound,Unreachable,,San Francisco
7bvm5tgt,Inbound,Not the right moment,,
83u8jcbz,Inbound,Not feeling,,
sr0kwvy8,Inbound,Wrong Data,,San Francisco
czdvsc6d,Inbound,,,Indianapolis
dwj15dja,Inbound,Not Target,,
glt2onv5,Inbound,Unreachable,,San Antonio
l5hxmmt4,Inbound,Unreachable,,Jacksonville
qeba901c,Inbound,Not Target,,Washington
n8k7qbub,Inbound,Unreachable,,San Francisco
0a3x8dt5,Inbound,Wrong Data,,
x8vaketl,Inbound,Not feeling,,Indianapolis
h5nurvud,Inbound,Wrong Data,,Phoenix
ps2kwwpl,Inbound,,,New York
tmbcqvqg,Inbound,,,Washington
d938hkw1,Inbound,Not Target,,Jacksonville
z28spdmb,Inbound,Not the right moment,Follow-up: digital guide 2,Chicago
k9m3pxkh,Inbound,Not the right moment,,Chicago
th6k43ue,Inbound,Not Fit,,New York
fytodqbb,Inbound,Not the right moment,,San Antonio
4p890dp9,Inbound,Wrong Data,,San Diego
jmz449qs,Inbound,Unreachable,,San Francisco
7uvcyohp,Inbound,Not Target,,
z5k7tmqm,Inbound,Not feeling,,San Francisco
3nsk1em3,Inbound,Not the right moment,,
vmc12jkf,Inbound,Not the right moment,,New York
rph43w4z,Inbound,Wrong Data,,San Jose
pe0yw58e,Inbound,Not the right moment,,
zt4vhulc,Inbound,Not Target,,
e10a5b3q,Inbound,Not feeling,,
n68cw6oq,Inbound,Not feeling,,
45knh8sf,Inbound,Not the right moment,,Washington
zqnx4qpq,Inbound,Not the right moment,,Washington
ne6n03ru,Inbound,Not Target,,Chicago
ymtvyne2,Inbound,Not Target,,
y6cm9k60,Inbound,Not Fit,,
ll5fyi0h,Inbound,Not the right moment,Follow-up: digital guide 2,
xtp6lavx,Inbound,Unreachable,Follow-up: digital guide 2,
ivrmanwu,Inbound,Not Target,,Chicago
7u2yu3zi,Inbound,Not feeling,,San Francisco
18t11624,Inbound,Not Target,,Philadelphia
jrwrfhrv,Inbound,Not the right moment,,San Francisco
rey43cj3,Inbound,Not feeling,,San Francisco
qrz4en87,Inbound,Wrong Data,,Chicago
ztm4i93c,Inbound,,,Fort Worth
05zd3a83,Inbound,Not Fit,,
ytr1cqob,Inbound,Not Fit,,Houston
g0fatwfn,Inbound,Unreachable,Follow-up: digital guide 2,Philadelphia
wa6hjx1r,Inbound,,,Houston
og5idtqf,Inbound,Wrong Data,,Charlotte
tc2niizl,Inbound,Not the right moment,,Philadelphia
76upt2mi,Inbound,Not Fit,,San Jose
bl9dwd2i,Inbound,Not Target,,New York
abgo41ar,Inbound,Unreachable,,Phoenix
l0xzhdsd,Inbound,Not Target,,Chicago
jbefr48c,Inbound,Not Target,,Dallas
hchve27h,Inbound,Not feeling,,
9lx1d0au,Inbound,Unreachable,,San Antonio
a8kqiosv,Inbound,Unreachable,Follow-up: digital guide 2,Charlotte
yh6rz9xg,Inbound,Not Fit,,New York
xgpdpesf,Inbound,Not Target,,Chicago
y3s156qu,Inbound,Not Fit,,
4i5dp4lb,Inbound,Not feeling,,Chicago
5qqveqnt,Inbound,Unreachable,,San Francisco
8aif50t0,Inbound,Not Fit,,
xld5euiv,Inbound,Unreachable,,Jacksonville
s5g7rt97,Inbound,Unreachable,,Indianapolis
42q4h5wg,Inbound,Unreachable,,Indianapolis
5faa4dlw,Inbound,,,Chicago
n0hu7ibr,Inbound,Wrong Data,,Chicago
4w2nz5zj,Inbound,Not feeling,Follow-up: digital guide 2,Chicago
w96b1ay4,Inbound,Not Target,,Jacksonville
rj8gdv3u,Inbound,Not Fit,,San Jose
3ue545r9,Inbound,Not Target,,San Francisco
kc2hsktd,Inbound,Not Target,,San Francisco
khbgcdju,Inbound,,,
uqqqx2qn,Inbound,Not feeling,Follow-up: digital guide 2,
vwcnpk2u,Inbound,Unreachable,,Phoenix
u48d4w16,Inbound,Unreachable,,Seattle
1unwd0ql,Inbound,Wrong Data,,Los Angeles
etvf9ra5,Inbound,Not Target,,
zdmn5tow,Inbound,Not Target,,San Diego
nraes2io,Inbound,Not the right moment,,Chicago
ahjv8y0s,Inbound,Not Target,,Jacksonville
9l6ftqsf,Inbound,Unreachable,,San Diego
mxf10g71,Inbound,Not the right moment,,Jacksonville
j4gtbd30,Inbound,Not Target,,Chicago
q6kmf9ac,Inbound,Wrong Data,,
fppokc72,Inbound,Competitor,,Chicago
0m2l0rse,Inbound,Not Target,,Austin
bgevtklj,Inbound,Not the right moment,Follow-up: digital guide 2,
dr5gjj7f,Inbound,Not Target,,San Francisco
1k72hy0b,Inbound,Wrong Data,,San Jose
3o7c6lk9,Inbound,Not Target,,Columbus
qb6u0b86,Inbound,Not Fit,,San Francisco
89icbrat,Inbound,Unreachable,,New York
xuxgnhux,Inbound,Not the right moment,Follow-up: digital guide 2,San Antonio
z8de05m6,Inbound,Not Target,,Seattle
36y1epj6,Inbound,,,Chicago
5ygwjddw,Inbound,Wrong Data,,Los Angeles
i8soy4mg,Inbound,Not Target,,San Francisco
yfoogomj,Inbound,Not the right moment,,San Francisco
51qx7srn,Inbound,Not the right moment,,San Diego
ww6xtlan,Inbound,Not the right moment,,Charlotte
9jis4a73,Inbound,Not the right moment,,San Francisco
yxvkgop5,Inbound,Not Target,,New York
mi1b2jq3,Inbound,Not Target,,Columbus
7eu6i16h,Inbound,Not Target,,
l82d0vb6,Inbound,Not the right moment,,Chicago
h9rzk6kf,Inbound,Unreachable,,Jacksonville
maihngvg,Inbound,,,San Francisco
nvju1get,Outbound,,,San Francisco
mqe7bkq2,Inbound,,,Washington
pxmzk4vz,Inbound,Not Target,,
y6uyb52s,Inbound,Not Fit,,
srwabvvc,Inbound,Unreachable,,San Francisco
fukgpwaj,Inbound,Wrong Data,,San Jose
5y4xii7e,Inbound,Unreachable,,San Francisco
32k19x0e,Inbound,Not feeling,,Philadelphia
3j6lpexy,Inbound,,,
qq8o2kf1,Inbound,Unreachable,,
umrdhmhm,Inbound,Not Target,,Indianapolis
9cjos9uy,Inbound,Not Target,,Dallas
5evroeuu,Inbound,Not Fit,,Jacksonville
edpbrlkk,Inbound,Not Target,,Seattle
q8j704ev,Inbound,Not Fit,,Chicago
0rrso3s7,Inbound,Not feeling,,San Francisco
qlclswl6,Inbound,Competitor,,San Francisco
1c8cso23,Inbound,Not the right moment,Follow-up: digital guide 2,Houston
52fmilvz,Inbound,Not the right moment,,Los Angeles
7ui0tov3,Inbound,Not Target,,Phoenix
0j1uqmrb,Inbound,Wrong Data,,San Jose
a34hw8hu,Inbound,Not Target,,Chicago
dxhhzage,Inbound,,,
aiada7yu,Inbound,Competitor,,Charlotte
95pgsk6u,Inbound,,,Houston
yztx71vv,Inbound,Wrong Data,,San Francisco
wwce9snq,Inbound,,,Columbus
3fzui3st,Inbound,Unreachable,,Phoenix
juzj7uau,Inbound,Unreachable,,Chicago
5kdgc6ey,Inbound,Unreachable,,Fort Worth
fx34i33d,Inbound,Not Target,,Chicago
sjy6oqae,Inbound,Not the right moment,,San Jose
urp4qdqy,Inbound,Not feeling,,
0so2p3a6,Inbound,Not the right moment,,New York
ii5fq9b4,Inbound,Not feeling,,San Francisco
k7sqhlkr,Inbound,Competitor,,
yqf08hib,Inbound,Not Target,,San Diego
uzq7wuhi,Inbound,,,San Francisco
7s2yxlz4,Inbound,Not feeling,,Chicago
