Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
1,1,720.0,5,1,5,0,9,2019,11,2019,11
1,0,0.0,2,1,0,0,1,2019,12,2019,12
1,1,768.0,2,1,5,0,2,2019,12,2019,12
2,0,8014.0,108,1,4,0,2,2019,12,2019,12
2,1,450.0,84,1,5,0,2,2019,12,2020,2
1,1,324.0,0,1,5,0,3,2019,12,2019,12
2,0,1344.0,6,1,0,1,2,2019,12,2019,12
1,2,300.0,60,1,5,0,3,2019,12,2019,12
1,1,768.0,2,2,5,0,2,2020,3,2020,3
2,2,1344.0,6,2,5,0,2,2020,8,2020,8
3,1,768.0,51,2,5,0,2,2019,8,2019,8
1,0,300.0,2,0,0,1,15,2019,8,2019,11
1,0,576.0,3,1,5,1,19,2019,9,2019,11
2,1,360.0,20,1,5,1,16,2019,11,2019,11
2,2,1344.0,6,2,5,0,2,2019,11,2019,11
1,1,768.0,2,1,5,1,2,2019,8,2019,8
3,1,458.0,40,2,5,0,2,2019,5,2019,5
1,1,576.0,3,0,5,1,2,2019,11,2019,11
1,1,1344.0,110,2,5,0,2,2019,10,2019,12
1,1,360.0,66,0,5,1,2,2019,9,2019,9
1,1,240.0,62,2,5,0,2,2019,12,2019,12
1,1,360.0,66,0,5,0,2,2019,12,2019,12
1,1,300.0,60,0,5,0,2,2019,12,2019,12
1,1,240.0,62,1,5,1,2,2020,1,2020,1
3,1,8014.0,108,1,5,1,2,2020,9,2020,9
1,1,360.0,66,1,5,0,2,2019,12,2019,12
1,1,576.0,3,1,5,0,2,2019,11,2019,11
1,2,300.0,60,0,5,0,2,2019,12,2020,1
2,1,450.0,84,0,5,0,9,2019,11,2019,11
1,1,120.0,44,1,5,1,15,2020,3,2020,3
1,0,300.0,60,0,1,1,17,2019,11,2019,11
1,0,200.0,2,2,4,1,16,2019,11,2019,11
1,2,240.0,62,2,5,1,1,2019,12,2019,12
1,2,240.0,62,0,5,0,12,2019,5,2020,1
3,2,360.0,1,1,5,0,2,2019,12,2019,12
3,0,0.0,2,2,3,0,2,2019,11,2019,11
2,1,1344.0,6,2,5,0,5,2019,11,2019,11
1,1,200.0,66,1,5,1,2,2019,12,2019,12
3,1,576.0,49,1,5,0,2,2019,7,2019,7
4,0,1303.7540329575022,2,1,1,0,2,2019,8,2019,1
1,1,1344.0,110,2,5,0,2,2019,11,2019,12
1,1,240.0,62,1,5,0,2,2019,11,2019,11
1,0,200.0,2,0,0,0,0,2020,10,2020,10
1,0,0.0,2,1,5,1,2,2019,8,2019,11
1,1,300.0,60,0,5,0,2,2019,10,2019,10
1,1,45744.0,23,1,5,0,2,2019,7,2019,7
1,1,240.0,62,0,5,1,2,2019,12,2019,12
2,2,768.0,51,1,5,1,2,2020,2,2020,2
1,2,1303.7540329575022,2,1,5,1,13,2019,5,2020,1
1,1,300.0,82,1,5,0,2,2019,7,2019,7
1,2,1303.7540329575022,2,1,5,0,2,2019,11,2020,1
2,0,1344.0,6,0,0,1,2,2019,11,2019,11
1,1,360.0,79,1,5,1,7,2019,11,2019,11
2,0,600.0,69,2,4,0,2,2019,11,2019,11
1,1,150.0,28,1,5,0,8,2020,2,2020,3
1,2,768.0,2,2,5,0,2,2019,2,2020,1
3,1,150.0,65,1,5,1,2,2019,9,2020,2
1,1,360.0,66,1,5,0,2,2019,12,2019,12
2,2,0.0,2,0,5,1,15,2020,3,2020,3
1,1,240.0,62,1,5,0,19,2019,12,2019,12
1,0,1344.0,110,2,5,0,16,2019,11,2019,12
1,1,768.0,2,0,5,1,9,2019,12,2019,12
4,1,1303.7540329575022,2,1,5,0,2,2019,12,2019,12
3,1,960.0,111,1,5,0,2,2020,2,2020,3
4,0,1303.7540329575022,2,1,4,0,2,2019,9,2019,9
1,1,200.0,28,1,5,0,2,2019,11,2019,11
1,1,960.0,8,0,5,0,2,2020,4,2020,4
3,0,360.0,1,1,3,1,2,2019,9,2019,10
2,1,768.0,51,1,5,1,2,2019,11,2019,11
1,1,576.0,3,1,5,1,17,2019,11,2019,11
1,2,600.0,70,2,5,1,19,2019,7,2019,7
2,1,1344.0,6,1,5,0,2,2019,8,2019,8
1,1,240.0,62,1,5,0,15,2019,12,2019,12
1,2,0.0,2,2,5,0,2,2020,1,2020,1
1,1,360.0,66,1,5,1,2,2020,8,2020,8
1,2,324.0,0,1,5,0,2,2019,12,2020,1
1,1,300.0,60,2,5,0,2,2019,12,2019,12
2,1,150.0,65,0,5,1,19,2019,8,2019,11
1,1,1680.0,109,1,5,0,2,2019,12,2019,12
1,1,324.0,0,2,5,0,2,2019,12,2019,12
1,0,150.0,72,1,5,1,2,2020,4,2020,8
2,1,1344.0,6,1,5,0,5,2020,10,2020,10
1,0,360.0,79,1,5,1,4,2019,11,2019,11
1,2,1303.7540329575022,2,1,5,0,13,2019,11,2020,1
2,0,0.0,2,0,3,1,2,2019,11,2019,11
1,0,200.0,2,1,3,0,2,2019,8,2019,8
3,0,200.0,2,1,3,0,2,2019,11,2019,11
1,2,1303.7540329575022,2,1,5,0,2,2019,11,2020,1
2,2,0.0,2,0,5,0,2,2019,11,2019,11
2,1,120.0,67,0,5,1,2,2019,11,2019,11
1,1,1008.0,76,0,5,0,2,2019,11,2019,11
3,1,300.0,27,1,5,0,2,2019,9,2019,9
1,1,360.0,66,1,5,1,2,2019,12,2019,12
1,1,360.0,66,1,5,0,2,2019,12,2019,12
1,0,960.0,87,1,4,0,2,2020,2,2020,10
1,2,1303.7540329575022,2,1,5,0,2,2020,3,2020,1
3,2,420.0,2,1,5,0,2,2020,9,2020,1
1,2,1344.0,110,0,5,0,16,2019,8,2019,8
3,0,0.0,2,1,3,1,2,2019,10,2019,11
1,1,240.0,62,1,5,0,2,2019,11,2019,11
1,1,768.0,2,0,5,0,1,2019,11,2019,7
1,1,300.0,60,1,5,0,2,2019,11,2019,11
2,2,1303.7540329575022,2,0,5,0,2,2019,12,2020,1
1,0,360.0,66,2,0,0,2,2020,3,2020,8
2,1,120.0,64,1,5,0,2,2019,11,2019,11
1,1,768.0,2,0,5,0,18,2019,5,2019,5
1,0,324.0,0,1,0,0,17,2019,5,2019,9
1,0,768.0,2,0,7,1,19,2020,2,2020,3
2,0,200.0,2,2,0,0,2,2019,12,2019,12
1,1,576.0,3,3,5,1,2,2020,8,2020,8
1,1,360.0,66,1,5,1,2,2019,11,2019,2
1,1,360.0,66,0,5,0,16,2019,1,2019,1
2,0,240.0,26,1,3,1,3,2019,1,2019,1
2,1,576.0,49,1,5,1,2,2019,2,2019,5
2,2,576.0,49,1,5,0,2,2019,11,2019,11
2,1,120.0,67,0,5,0,2,2019,11,2019,11
1,0,768.0,2,0,0,0,2,2019,11,2019,11
3,0,360.0,66,1,0,0,2,2019,11,2019,11
1,2,1303.7540329575022,2,1,5,1,3,2019,11,2020,1
1,1,240.0,62,1,5,1,2,2019,11,2019,11
1,1,240.0,62,2,5,0,2,2019,12,2019,12
1,1,360.0,66,2,5,1,13,2019,12,2019,12
3,2,324.0,97,1,5,0,17,2020,8,2020,10
2,1,1344.0,6,0,5,0,2,2020,9,2020,9
3,1,768.0,51,1,5,0,2,2019,7,2019,7
2,2,768.0,51,2,5,0,2,2019,7,2019,7
2,0,200.0,2,0,3,1,14,2019,9,2019,9
2,0,240.0,81,1,3,1,2,2019,10,2019,10
2,1,1344.0,6,0,5,0,2,2019,11,2019,11
1,0,200.0,2,0,0,0,3,2019,11,2019,11
2,2,768.0,51,1,5,0,2,2019,11,2020,1
1,1,360.0,66,1,5,0,16,2019,11,2019,11
3,2,1303.7540329575022,2,2,5,0,2,2019,2,2020,1
3,2,1303.7540329575022,2,2,5,0,2,2019,9,2020,1
1,2,1303.7540329575022,2,1,5,0,9,2019,12,2020,1
2,2,1303.7540329575022,2,0,5,0,2,2019,12,2020,1
2,1,360.0,1,0,5,1,16,2019,12,2019,12
2,1,960.0,111,0,5,1,2,2019,12,2019,12
1,1,324.0,0,2,5,0,2,2019,11,2019,11
2,2,360.0,66,0,5,0,16,2019,12,2019,12
1,0,360.0,79,1,4,0,2,2019,9,2019,11
3,1,360.0,1,2,5,0,2,2019,10,2019,10
2,1,960.0,111,1,5,0,2,2019,11,2019,11
2,1,360.0,20,0,5,1,2,2019,12,2019,12
4,2,1303.7540329575022,2,1,5,0,2,2019,12,2020,10
1,2,768.0,2,2,5,1,10,2019,12,2019,12
1,1,1344.0,110,2,5,0,10,2019,12,2019,12
1,2,1303.7540329575022,2,0,5,0,2,2019,12,2020,1
2,0,300.0,27,1,7,0,2,2019,7,2019,7
2,2,1303.7540329575022,2,1,5,0,18,2019,11,2020,1
1,0,1008.0,76,0,5,0,13,2019,11,2019,11
1,1,768.0,2,1,5,0,16,2019,12,2019,12
1,1,768.0,2,1,5,1,15,2019,11,2019,11
1,0,1344.0,110,1,4,0,4,2019,11,2019,11
2,1,360.0,20,1,5,0,7,2019,9,2019,9
2,1,360.0,1,0,5,1,16,2019,9,2019,10
2,2,1303.7540329575022,2,1,5,0,2,2019,1,2020,1
1,2,1303.7540329575022,17,1,5,0,2,2019,12,2020,1
3,2,768.0,51,1,5,0,2,2019,12,2019,12
1,1,240.0,62,0,5,0,2,2020,1,2020,1
3,2,960.0,11,0,5,1,3,2019,12,2020,1
1,1,240.0,62,1,5,0,2,2019,11,2019,11
1,0,324.0,0,1,4,0,18,2019,11,2019,11
4,2,1303.7540329575022,2,1,5,0,2,2019,12,2019,12
1,2,1344.0,110,1,5,0,2,2020,9,2020,9
1,1,360.0,66,2,5,0,2,2019,12,2019,12
1,1,300.0,60,1,5,0,16,2019,12,2019,12
1,1,1344.0,110,2,5,1,11,2020,1,2020,1
1,1,1008.0,76,0,5,0,2,2019,11,2019,11
4,2,1303.7540329575022,2,1,5,1,2,2019,11,2020,1
1,1,600.0,70,2,5,1,16,2019,12,2019,12
2,2,360.0,20,1,5,1,3,2019,12,2019,12
1,0,360.0,66,2,5,1,2,2019,12,2019,12
3,0,1344.0,6,1,4,1,2,2019,11,2019,2
